TimeStamp,,Ambient OK Timer ,Generator Operation Timer,Grid OK Timer ,Grid ON Timer ,Operation Timer ,Turbine Availbility Timer ,Wind Speed OK Timer ,,Total Operating Hours of Yaw ,,GS Phase 1 (A) ,GS Phase 2 (A) ,GS Phase 3 (A),,Operating Frequency (Hz) ,,Active Power (W) ,,Power Factor,,GS Phase 1 (V),GS Phase 2 (V) ,GS Phase 3 (V) ,,Total Active Energy (W),Total Reactive Energy (W) ,,Hydraulic Temperature (C) ,,Temperature Outside Nacelle (C) ,Temperature Inside Nacelle ,,Gearbox Oil Temperature (C) ,,Generator Stator Temperature (C) ,,Slip Ring Temperature (C) ,,Controller Temperature (C) ,,Active Power Generation (W),Active Power Generation (W) ,,Min Rotor Speed (rpm) in 10 mins,Max Rotor Speed (RS) in 10 mins,,Mean Generator Speed (rpm),Max Generator Speed (rpm),Min Generator Speed (rpm),,Min Pitch Angle for Blade 1 (deg),Max Pitch Angle for Blade 1 (deg) ,,Wind Speed (m/s) ,Max Wind Speed Outside Nacelle (m/s),Min Wind Speed Outside Nacelle (m/s) 
2/12/13 14:40,,600,600,600,600,600,600,600,,20,,233.1,227.5,258.6,,49.96,,294400,,1,,401.8,407.6,407.4,,49182,-2189,,24,,2,16,,58,,61,,NaN,,25,,294400,398900,,28.7,28.8,,1515,1522,1508,,0,0.9,,OP,9.5,7.8
2/12/13 14:50,,600,600,600,600,600,600,600,,10,,230.6,224.1,255.1,,49.98,,290600,,1,,402,407.7,407.7,,48377,-2135,,24,,2,17,,55,,59,,NaN,,25,,290600,449400,,28.7,28.9,,1516,1524,1509,,0,1.3,,OP,9.6,7.7
2/12/13 15:00,,600,600,600,600,600,600,600,,30,,262.9,257.9,291.4,,49.99,,331300,,1,,401.4,407.6,407.2,,54991,-3803,,24,,3,16,,57,,58,,NaN,,25,,331300,521200,,28.7,28.9,,1518,1528,1510,,-0.2,1.2,,OP,10.5,7.9
2/12/13 15:10,,600,600,600,600,600,600,600,,0,,317.6,312.3,343.5,,50.02,,396100,,1,,401.8,407.4,407.5,,66168,-6756,,24,,3,16,,58,,59,,NaN,,25,,396100,546200,,28.8,29,,1521,1532,1513,,-0.7,0.5,,OP,10.2,8.6
2/12/13 15:20,,600,600,600,600,600,600,600,,10,,332.5,329.4,359,,50.04,,414600,,1,,401.4,407.8,408.1,,69055,-7946,,24,,2,16,,57,,60,,NaN,,25,,414600,598300,,28.8,29,,1523,1533,1512,,-0.8,0.5,,OP,10.8,8.8
2/12/13 15:30,,600,600,600,600,600,600,600,,10,,276.1,269.7,300.8,,50.01,,345300,,1,,401.8,407.3,407.6,,57505,-4480,,24,,2,16,,55,,59,,NaN,,25,,345300,484400,,28.7,28.9,,1519,1526,1512,,-0.4,0.9,,OP,10.4,8.2
2/12/13 15:40,,600,600,600,600,600,600,600,,0,,313.3,306.8,337.9,,49.98,,389500,,1,,401.2,406.9,407.1,,64934,-6493,,24,,2,16,,57,,59,,NaN,,25,,389500,536800,,28.7,29,,1520,1529,1511,,-0.7,0.7,,OP,10.4,8.6
2/12/13 15:50,,600,600,600,600,600,600,600,,0,,342.5,336,366.9,,49.99,,424200,,1,,401.3,406.8,407.5,,70810,-8399,,24,,2,16,,58,,59,,NaN,,25,,424200,583500,,28.8,29,,1522,1531,1513,,-1,0.2,,OP,10.9,8.9
2/12/13 16:00,,600,600,600,600,600,600,600,,0,,311.4,306.2,335.2,,50,,387800,,1,,401.7,407.3,407.4,,64491,-6445,,24,,2,16,,55,,59,,NaN,,25,,387800,517100,,28.8,28.9,,1520,1528,1514,,-0.7,0.3,,OP,10.3,8.6
2/12/13 16:10,,600,600,600,600,600,600,600,,0,,228.9,220.2,250.5,,50,,286300,,1,,401.9,407.4,408.1,,47791,-2143,,24,,2,16,,56,,58,,NaN,,25,,286300,498900,,28.7,28.9,,1516,1528,1510,,0,1,,OP,10.2,7.7
